year,month,day,day_of_week,temperature,rain,solar,snow,wind,wind_dir,pressure,humidity,cloud
2018,6,10,sunday,20.0,31.0,2.09,0,3.0,NE,1006.8,91,10.0
2018,6,11,monday,18.9,50.0,3.12,0,2.9,NNW,994.7,99,10.0
2018,6,12,tuesday,20.5,0.0,11.93,0,2.2,NNE,993.0,91,10.0
2018,6,13,wednesday,21.5,0,21.20,0,2.7,NE,1000.2,77,8.0
2018,6,14,thursday,20.6,0.0,15.02,0,3.4,ESE,1007.2,72,10.0
2018,6,15,friday,17.6,9.5,2.81,0,3.2,NNE,1006.7,93,10.0
2018,6,16,saturday,15.9,3.0,6.84,0,2.8,NNE,1010.4,86,10.0
2018,6,17,sunday,18.7,0.0,13.97,0,2.3,S,1013.2,77,10.0
2018,6,18,monday,19.4,2.0,4.16,0,1.9,NW,1009.5,93,10.0
2018,6,19,tuesday,22.7,0.0,23.38,0,3.0,NNW,1006.4,77,9.8
2018,6,20,wednesday,20.8,24.5,3.72,0,2.7,SE,1001.5,98,10.0
2018,6,21,thursday,21.2,2.0,8.08,0,2.0,SSE,999.4,95,9.5
2018,6,22,friday,23.1,0,22.93,0,2.7,SSE,1004.6,79,7.3
2018,6,23,saturday,20.6,16.0,4.81,0,1.7,NE,1003.8,95,10.0
2018,6,24,sunday,21.3,2.5,13.81,0,2.1,S,1002.5,91,10.0
2018,6,25,monday,26.2,0,27.67,0,2.4,SSE,1008.3,71,2.8
2018,6,26,tuesday,25.7,0,25.44,0,3.6,SE,1011.0,75,7.5
2018,6,27,wednesday,27.7,0.0,23.27,0,7.0,SSW,1003.1,71,9.0
2018,6,28,thursday,27.4,0.0,17.49,0,6.0,SSW,1003.1,77,8.0
2018,6,29,friday,28.2,0,28.39,0,6.9,S,1008.3,73,4.0
2018,6,30,saturday,28.6,0,28.51,0,5.8,S,1014.0,74,6.0
2018,7,1,sunday,28.1,0,28.19,0,5.1,S,1015.4,75,1.5
2018,7,2,monday,28.8,0,29.11,0,3.7,S,1011.3,70,0.0
2018,7,3,tuesday,28.4,0,26.29,0,5.0,S,1006.0,69,7.8
2018,7,4,wednesday,27.6,0.0,15.68,0,6.6,S,1001.6,75,10.0
2018,7,5,thursday,26.7,2.0,6.96,0,6.9,S,1001.9,79,10.0
2018,7,6,friday,21.7,28.5,2.93,0,3.1,ENE,1007.7,99,10.0
2018,7,7,saturday,25.0,0.0,16.16,0,3.8,S,1009.9,86,10.0
2018,7,8,sunday,27.4,0,21.06,0,3.9,S,1012.9,79,10.0
2018,7,9,monday,27.3,3.5,18.22,0,3.2,SSE,1015.9,86,7.8
2018,7,10,tuesday,28.5,0,27.49,0,3.7,SSE,1015.0,78,6.0
2018,7,11,wednesday,29.0,0.0,18.38,0,2.1,S,1011.6,75,10.0
2018,7,12,thursday,26.6,3.5,14.83,0,2.6,NE,1010.2,83,10.0
2018,7,13,friday,29.1,0,22.77,0,2.7,S,1006.8,75,8.5
2018,7,14,saturday,30.1,0,22.12,0,2.8,SE,1007.6,70,7.0
2018,7,15,sunday,29.7,0,26.36,0,3.2,SSE,1009.0,78,3.0
2018,7,16,monday,29.9,0,24.03,0,3.0,SSE,1008.7,78,9.8
2018,7,17,tuesday,29.9,0,24.60,0,3.4,SSE,1008.0,78,10.0
2018,7,18,wednesday,30.5,0,24.65,0,3.0,SSE,1007.2,75,5.3
2018,7,19,thursday,29.9,0,26.92,0,3.6,SSE,1007.6,78,7.3
2018,7,20,friday,29.9,0,26.63,0,4.4,S,1008.3,75,3.5
2018,7,21,saturday,30.5,0,25.65,0,3.2,S,1007.7,72,6.5
2018,7,22,sunday,31.0,0,21.38,0,2.4,SSE,1005.5,73,8.3
2018,7,23,monday,32.2,0,21.30,0,2.9,SE,1002.7,59,7.5
2018,7,24,tuesday,29.8,2.5,21.64,0,2.8,SSE,1003.7,76,6.3
