"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2019年03月08日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","","A1101","","A1301","","A1303","","B1101","","#A06601","","#A06602","","#F01301","","#M0210101","","#M0210201",""
"調査年 コード","調査年","地域 コード","地域","/項目","A1101_総人口【人】","注釈","A1301_１５歳未満人口【人】","注釈","A1303_６５歳以上人口【人】","注釈","B1101_総面積（北方地域及び竹島を除く）【ｈａ】","注釈","#A06601_婚姻率（人口千人当たり）【‐】","注釈","#A06602_離婚率（人口千人当たり）【‐】","注釈","#F01301_完全失業率【％】","注釈","#M0210101_仕事の平均時間［有業者・男］【分】","注釈","#M0210201_仕事の平均時間［有業者・女］【分】","注釈"
"2014100000","2014年度","34000","広島県","","2,846,000","","378,000","","769,000","","847,938","","4.99","","1.70","","***","","***","","***",""
"2014100000","2014年度","35000","山口県","","1,415,000","","174,000","","441,000","","611,230","","4.36","","1.60","","***","","***","","***",""
"2014100000","2014年度","36000","徳島県","","763,000","","91,000","","230,000","","414,693","","4.35","","1.66","","***","","***","","***",""
"2014100000","2014年度","37000","香川県","","980,000","","128,000","","286,000","","187,673","","4.79","","1.75","","***","","***","","***",""
"2014100000","2014年度","38000","愛媛県","","1,396,000","","176,000","","415,000","","567,610","","4.40","","1.72","","***","","***","","***",""
"2014100000","2014年度","39000","高知県","","736,000","","86,000","","237,000","","710,391","","4.23","","1.85","","***","","***","","***",""
"2014100000","2014年度","40000","福岡県","","5,099,000","","687,000","","1,279,000","","498,640","","5.37","","1.96","","***","","***","","***",""
"2014100000","2014年度","41000","佐賀県","","837,000","","118,000","","225,000","","244,064","","4.69","","1.58","","***","","***","","***",""
"2014100000","2014年度","42000","長崎県","","1,387,000","","183,000","","401,000","","413,232","","4.42","","1.67","","***","","***","","***",""
"2014100000","2014年度","43000","熊本県","","1,795,000","","244,000","","504,000","","740,932","","4.85","","1.73","","***","","***","","***",""
"2014100000","2014年度","44000","大分県","","1,173,000","","150,000","","347,000","","634,061","","4.60","","1.71","","***","","***","","***",""
"2014100000","2014年度","45000","宮崎県","","1,112,000","","153,000","","319,000","","773,531","","4.63","","2.06","","***","","***","","***",""
"2014100000","2014年度","46000","鹿児島県","","1,662,000","","227,000","","478,000","","918,810","","4.72","","1.82","","***","","***","","***",""
"2014100000","2014年度","47000","沖縄県","","1,426,000","","249,000","","270,000","","228,100","","5.94","","2.50","","***","","***","","***",""
"2013100000","2013年度","01000","北海道","","5,438,000","","630,000","","1,469,000","","7,842,134","","4.84","","2.08","","***","","***","","***",""
"2013100000","2013年度","02000","青森県","","1,337,000","","159,000","","373,000","","964,474","","4.28","","1.75","","***","","***","","***",""
"2013100000","2013年度","03000","岩手県","","1,299,000","","159,000","","372,000","","1,527,889","","4.16","","1.54","","***","","***","","***",""
"2013100000","2013年度","04000","宮城県","","2,333,000","","299,000","","553,000","","728,580","","5.14","","1.78","","***","","***","","***",""
"2013100000","2013年度","05000","秋田県","","1,050,000","","115,000","","331,000","","1,163,632","","3.68","","1.41","","***","","***","","***",""
"2013100000","2013年度","06000","山形県","","1,144,000","","142,000","","332,000","","932,346","","4.14","","1.46","","***","","***","","***",""
"2013100000","2013年度","07000","福島県","","1,940,000","","246,000","","524,000","","1,378,276","","4.67","","1.67","","***","","***","","***",""
"2013100000","2013年度","08000","茨城県","","2,937,000","","382,000","","728,000","","609,584","","4.88","","1.72","","***","","***","","***",""
"2013100000","2013年度","09000","栃木県","","1,986,000","","260,000","","480,000","","640,828","","5.11","","1.83","","***","","***","","***",""
